Latitude,Longitude
46.3167,6.96801
46.2686,6.68696
45.9866,6.43602
45.9041,6.53639
45.9591,6.94793
46.1379,7.29925
46.3442,7.69071
46.4474,8.20263
46.7569,8.03199
46.695,7.14868
46.5987,6.87767
46.3167,6.96801
46.3167,6.96801
