Latitude,Longitude
47.2520996876403,9.63506588579795
47.5891736038184,9.71705710102489
47.8981580269817,8.43594436310395
47.6804644561167,8.27196193265007
47.5610841108036,6.79612005856515
47.259122060894,6.73462664714495
46.507728122747,5.89421669106881
46.3672806576728,5.99670571010249
46.2057660728374,5.82247437774524
46.0512738612558,6.03770131771596
46.2268331925985,6.44765739385066
46.3181240448968,6.47840409956076
46.3532359111653,6.65263543191801
45.8897592764204,6.96010248901903
45.8054907973759,8.04648609077599
46.2900345518819,8.32320644216691
45.7282446915851,9.07137628111274
46.3462135379116,9.41983894582723
46.1355423403003,10.1885065885798
46.3953701506876,10.3729868228404
46.5428399890155,10.2090043923865
46.5919966017915,10.5062225475842
47.0835627295513,10.5369692532943
46.9712047574919,10.1065153733529
47.2029430748644,9.62481698389458
47.2520996876403,9.63506588579795
47.2520996876403,9.63506588579795
