   8.240    46.490 1991      1      17    2.1   3.00      11      19
   8.220    46.510 1991      1      17    2.6   9.00      11      19
   7.190    47.410 1991      1      20    2.3   5.00      10      47
   7.200    47.500 1991      1      20    2.3  10.00      10      47
   7.600    46.320 1991      1      20    1.4   7.00      15       6
   7.170    47.410 1991      1      20    2.2   5.00      16      25
   7.200    47.500 1991      1      20    2.2  10.00      16      25
   7.500    46.260 1991      1      21    2.8   5.00      11      46
   7.500    46.260 1991      1      21    3.1   5.00      11      46
   7.460    47.490 1991      1      22    1.7   2.00       1      32
   7.460    47.480 1991      1      22    2.3   5.00       1      32
   7.280    46.300 1991      1      23    2.9   5.00       0       3
   7.280    46.300 1991      1      23    2.6   5.00       0       3
   7.150    46.290 1991      1      23    0.0  10.00       4      40
   7.420    46.340 1991      1      23    0.0   4.00      19      25
   7.340    46.320 1991      1      29   -0.1   4.00      19      13
   7.580    46.180 1991      2       2    0.4   4.00       6      36
   7.540    46.180 1991      2       2    0.0   8.00       7      53
   7.280    46.200 1991      2       5    0.0   0.00      12      40
   7.470    46.120 1991      2      11    0.0   3.00      15       4
   7.220    46.270 1991      2      12    0.7   0.00       1      43
   7.630    46.270 1991      2      12    0.0   3.00      23       8
   7.390    46.310 1991      2      14    1.4   6.00      14      38
   7.890    46.610 1991      2      17    2.7  10.00      20       4
   7.890    46.610 1991      2      17    2.7  10.00      20       4
   7.860    46.610 1991      2      17    2.2   1.00      20       4
   7.810    46.610 1991      2      17    2.0  21.00      20       4
   7.720    46.690 1991      2      17    2.7   5.00      20       4
   6.920    45.840 1991      2      18    2.2   5.00      22      56
   7.290    46.310 1991      2      19    0.0   1.00       4      25
   7.160    47.290 1991      2      19    1.9  14.00      12      27
   7.210    47.350 1991      2      19    2.1   5.00      12      27
   7.440    46.260 1991      2      19    0.2   0.00      13      34
   7.150    45.830 1991      2      20    2.2   6.00       4      31
   7.050    45.860 1991      2      20    2.8   5.00       4      31
   7.030    45.840 1991      2      20    2.8   2.00       4      31
   6.950    46.250 1991      2      20    0.0   3.00       9      16
   7.610    46.060 1991      2      24    0.0   5.00       9       2
   7.760    46.100 1991      2      27    0.0   3.00       2      46
   7.450    46.180 1991      3       3    0.0   1.00       5      37
   7.370    46.250 1991      3       6    0.0   6.00      18      28
   7.240    46.320 1991      3       8    0.7   7.00      11      37
   7.740    46.240 1991      3       8    0.0   3.00      22       5
   7.800    46.310 1991      3      11    0.0   8.00       8      28
   7.810    46.320 1991      3      11    0.0   7.00      15      28
   7.990    46.270 1991      3      12    0.0   3.00      10      33
   7.600    46.160 1991      3      18    0.0   5.00       9      52
   7.330    46.320 1991      3      18    0.7   5.00      17      30
   6.830    46.360 1991      3      19    2.0   6.00       5      19
   6.960    46.350 1991      3      19    2.3   3.00       5      19
   6.930    46.390 1991      3      19    2.6   5.00       5      19
